Nome do Produto,Marca,Tipo de Produto,Tipo de Cabelo,Descricao,Ingredientes,Modo de Uso,Fase Cronograma,Cabelos Finos,pH,Claims Detectados
Texture Paste - Pasta Modeladora de Fixação Moderada,Redken,Pasta,Para todos os tipos de cabelos,"REDKEN TEXTURE PASTE é uma pasta modeladora de fixação moderada que fixa, sem comprometer a flexibilidade dos fios, promovendo definição duradoura para modelar qualquer estilo de penteado. Descubra a diferença profissional usando Styling by Redken. Pasta de cabelo de controle médio com fixação moldável. Textura de longa duração.","Aqua/Water/Eau, Peg 40 Hydrogenated Cator Oil, Dimeticone, Petrolatum, Stearyl Alcohol, C20 40 Alkyl Stearate, Ppg 5 Ceteth 20, Tribehenin, Vp/Va Copolymer, Butylene Glycol, Phenoxyethanol, Peg 150 Pentaerythrityl Tetrastearate, Parfum/Fragrância, Gum De Celulose, Ácido Sórbico, Ethylhexylglycerin, Disodium Edta, Hexyl Cinnamal, Benzyl Salicylate, Hydroxypropyltrimonium Hydrolyzed Weat Protein, Benzyl Alcohol, Linalool, Peg 90m, Ci 19140, Cirelow 750, Cirelow 750/Cid140/Cid140 42090/Azul 1 (D54937/2)",Aplique uma pequena quantidade da pasta no cabelo úmido ou seco. Modele como desejar.,N/A,Não,N/A,N/A
Strong Hold - Spray Redken,Redken,Spray,VAZIO,"REDKEN STRONG HOLD é um spray de máxima fixação para penteados complexos com máxima usabilidade e controle. Resulta em total controle no styling dos fios, proporcionando 24 horas de fixação e prevenção de frizz. Descubra a diferença profissional usando Styling by Redken. Benefícios adicionais: Máxima fixação, acabamento natural e sem craquelar, e Flexibilidade no styling.","alcohol denat, hydrofluorocarbon 152a, va/crotonates/vinyl neodecanoate copolymer, octylacrylamide/ acrylates/butylaminoethyl methacrylate copolymer, aminomethyl propanol, hexyl cinnamal, benzyl alcohol, linalool, benzyl salicylate, hydroxycitronellal, amyl cinnamal, tocopheryl acetate, ascorbyl palmitate, limonene, citronellol, cinnamyl alcohol, geraniol, alpha- isomethyl ionone, eugenol, parfum / fragrance (c175600/1)",Pulverize no cabelo seco e penteado a uma distância de cerca de 15-30 cm.,N/A,Não,N/A,"Máxima fixação, 24 horas de fixação, Prevenção de frizz, Acabamento natural, Sem craquelar, Flexibilidade no styling"
Touchable Texture - Mousse Spray Redken,Redken,Spray,VAZIO,"REDKEN TOUCHABLE TEXTURE é um mousse spray de média fixação com secagem rápida e ação anti-umidade para cabelos que buscam máximo controle no styling dos fios. Proporciona redução do frizz sem resíduos e finalização leve. Enriquecido com Vitamina B5, sua fórmula combina polímeros que promovem o controle dos fios durante todo o dia. Descubra a diferença profissional usando Styling by Redken.","Aqua / Water, Isobutane, Propylene Glycol, Sodium Polystyrene Sulfonate, Carbomer, Triethanolamine, Phenoxyethanol, Peg 40 Hydrogenated Castor Oil, Parfum / Fragrance, Peg 60 Almond Glycerides, Polysorbate 20, Cocamidopropyl Betaine, Benzophenone 4, Glyceryl Laurate, Sodium Chloride, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Glycerin, Alpha Isomethyl Ionone, Xylose, Linalool, Hydroxycitronellal, Hexyl Cinnamal, Citronellol, Sodium Benzoate, Geraniol, Limonene, Benzyl Alcohol, Isoeugenol","Aplicar em todo o cabelo úmido. Pentear e utilizar secador, difusor, rolos ou deixar secar naturalmente.",N/A,Não,N/A,"Média fixação, Secagem rápida, Ação anti-umidade, Redução do frizz, Sem resíduos, Finalização leve, Enriquecido com Vitamina B5, Controle dos fios"
Leave-In Rebel Tame Frizz Dismiss,Redken,Leave-in,Cabelos com Frizz e para todos os tipos de cabelo,"O Leave-In Redken Frizz Dismiss Rebel Tame é um leave-in com proteção térmica e ação hidratante, que desembaraça, combate o frizz e protege do calor dos acessórios térmicos. Com diversos benefícios, ele proporciona controle intensivo ao frizz e deixa os fios mais sedosos, nutridos e fáceis de pentear. O Smoothing Complex presente em sua fórmula suave, é enriquecido com Ácido Cítrico e Óleo de Babassu de origem sustentável, ativos que hidratam, desembaraçam e protegem os fios da umidade externa, promovendo cabelos macios, com brilho e acabamento definido.","Aqua/Water/Eau, Cetearyl Alcohol, Orbignya Oleifera Seed Oil, Parfum/Fragrance, Glycerin, Behentrimonium Chloride, Cetrimonium Chloride, Amodimethicone, Sodium Benzoate, Isopropyl Alcohol, Peg/Ppg/Polybutylene Glycol-8/5/3 Glycerin, Benzyl Salicylate, Citric Acid, Benzyl Alcohol, Linalool, Trideceth-6, Chlorhexidine Dihydrochloride, Hexyl Cinnamal, Geraniol, Amyl Cinnamal, Coumarin, Citronellol, Limonene, Benzyl Benzoate",Coloque uma quantidade adequada do creme nas palmas das mãos e aplique-a sobre o cabelo úmido. Espalhe massageando cuidadosamente os fios até as pontas. Faça a finalização desejada.,N/A,Não,N/A,"Proteção Térmica, Livre de Sulfato, Óleo de Babassu de origem sustentável"
Máscara de Tratamento Extreme 500ml,Redken,Máscara,Para cabelos danificados,"MÁSCARA DE TRATAMENTO REDKEN EXTREME é uma máscara de condicionamento profundo para cabelos danificados. Possui ação fortalecedora que promove fios 15x mais fortes. Sua nova fórmula foi desenvolvida para garantir o máximo poder da reconstrução aliado ao condicionamento profundo dos fios. Sua formulação contém Strength Complex, enriquecido com Proteína e Ácido Lático, ativos que restauram a força e equilíbrio do pH dos cabelos, promovendo maciez intensa.","AQUA/WATER, CETEARYL ALCOHOL, AMINOPROPYL TRIETHOXYSILANE, PARAFFINUM LIQUIDUM/MINERAL OIL, LACTIC ACID, DIPALMITOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE, CETYL ESTERS, CETRIMONIUM CHLORIDE, CITRIC ACID, POLYQUATERNIUM-6, PHENOXYETHANOL, 2-OLEAMIDO-1,3-OCTADECANEDIOL, PARFUM/ FRAGRANCE, CHLORHEXIDINE DIGLUCONATE, ARGININE, HYDROLYZED SOY PROTEIN, SODIUM COCOYL AMINO ACIDS, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, POTASSIUM DIMETHICONE PEG-7 PANTHENYL PHOSPHATE, SODIUM SARCOSINATE, PROPYLENE GLYCOL, SODIUM CHLORIDE, POTASSIUM SORBATE, TETRASODIUM EDTA (D184755/1) INNER TUBE INGREDIENTS: AQUA/WATER, CETEARYL ALCOHOL, BEHENTRIMONIUM CHLORIDE, AMODIMETHICONE, GLYCERIN, OCTYLDODECANOL, ISOPROPYL ALCOHOL, PHENOXYETHANOL, CAPRYLYL GLYCOL, PARFUM/FRAGRANCE, BENZOIC ACID, TRIDECETH-6, CITRIC ACID, HYDROLYZED VEGETABLE PROTEIN PG-PROPYL SILANETRIOL, CETYL ALCOHOL, ARGININE, HYDROLYZED SOY PROTEIN, SODIUM CHLORIDE, SODIUM COCOYL AMINO ACIDS, 2-OLEAMIDO-1,3-OCTADECANEDIOL, BEHENTRIMONIUM METHOSULFATE, CETRIMONIUM CHLORIDE, QUATERNIUM-33, POTASSIUM DIMETHICONE PEG-7 PANTHENYL PHOSPHATE, SODIUM SARCOSINATE, BENZYL BENZOATE, PROPYLENE GLYCOL, LIMONENE, BENZYL ALCOHOL, LINALOOL, POTASSIUM SORBATE, TETRASODIUM EDTA (D184531/1)","Após lavagem com shampoo Extreme, aplique a máscara nos cabelos. Deixe agir de 3-5 minutos e enxágue bem. Siga com Condicionador Extreme.",Reconstrução,Não,N/A,"Strength Complex, Enriquecido com Proteína, Enriquecido com Ácido Lático, pH Balanceado, Reconstrução, Tratamento Fortificante Intenso"
Leave-In Acidic Color Gloss Heat Protection Treatment 190ml,Redken,Leave-in,Para cabelos opacos e sem brilho,"O Leave-In Redken Acidic Color Gloss Heat Protection Treatment oferece um escudo protetor contra o calor, a poluição e os minerais, preservando o brilho natural do seu cabelo e selando as cutículas. Elaborado com o exclusivo Acidic Shine Complex e uma avançada tecnologia de pH, o sistema Acidic Color Gloss recupera a intensidade do brilho entre as visitas ao salão, ao mesmo tempo em que equilibra o pH do cabelo. Esse processo não apenas fixa o brilho, mas também sela as cutículas capilares, proporcionando uma vitalidade duradoura aos fios. Efeito power gloss com Acidic Color Gloss: Brilho intenso e reposição da vivacidade da cor dos seus cabelos com a linha Acidic Color Gloss.","Aqua / Water, Dimethicone, Stearyl Alcohol, Behentrimonium Chloride, Trideceth-9 Pg-Amodimethicone, Phenoxyethanol, Polysorbate 20, Parfum / Fragrance, Isopropyl Alcohol, Ppg-5-Ceteth-20, Laureth-23, Laureth-4, Trideceth-12, Glycine Soja Oil / Soybean Oil, Tocopherol, Xylose, Arginine, Glutamic Acid, Limonene, Propylene Glycol, Serine, Salicylic Acid, Linalool, Benzyl Salicylate, Peg/Ppg-4/12 Dimethicone, Benzyl Alcohol, Alpha-Isomethyl Ionone, Coumarin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate","Use como um sistema completo com Shampoo, Condicionador e Tratamento Acidic Color Gloss. Aplicar nos cabelos limpos e húmidos. Deixar agir. Não enxaguar. Em caso de contacto com os olhos, lavar imediatamente.",N/A,Não,4.5-5.5,"Proteção contra o calor até 250°c, Ajuda a selar a cor, Evita danos causados pelo calor, 13x mais suave, Melhoria instantânea no desembaraçar, Reforço de hidratação 6x"
Shampoo Acidic Color Gloss 300ml,Redken,Shampoo,cabelos opacos e sem brilho,"O Shampoo Redken Acidic Color Gloss é um shampoo sem sulafto que oferece proteção e brilho duradouros de salão nos fios. Elaborado com o exclusivo Acidic Shine Complex e uma avançada tecnologia de pH, o sistema Acidic Color Gloss recupera a intensidade do brilho entre as visitas ao salão, ao mesmo tempo em que equilibra o pH do cabelo. Esse processo não apenas fixa o brilho, mas também sela as cutículas capilares, proporcionando uma vitalidade duradoura aos fios. Efeito power gloss com Acidic Color Gloss: Brilho intenso e reposição da vivacidade da cor dos seus cabelos com a linha Acidic Color Gloss. Brilho intenso com efeito gloss; Fórmulas com pH ácido selam a cutícula e fixam o brilho; Cabelo intensamente condicionado.","Aqua / Water, Sodium C14-16 Olefin Sulfonate, Glycerin, Cocamidopropyl Betaine, Glycol Distearate, Peg-150 Distearate, Sodium Lauroyl Sarcosinate, Propylene Glycol, Cocamide Mipa, Hexylene Glycol, Parfum / Fragrance, Citric Acid, Sodium Hydroxide, Sodium Chloride, Sodium Benzoate, Peg-55 Propylene Glycol Oleate, Coco-Betaine, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Peg/Ppg-4/12 Dimethicone, Salicylic Acid, Carbomer, Amodimethicone, Limonene, Benzoic Acid, Polyquaternium-7, Tocopherol, Linalool, Benzyl Salicylate, Benzyl Alcohol, Alpha-Isomethyl Ionone, Trideceth-6, Glycine Soja Oil / Soybean Oil, Arginine, Serine, Glutamic Acid, Cetrimonium Chloride, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate","Use como um sistema completo com o Condicionador Acidic Color Gloss. Aplicar nos cabelos molhados. Enxague. Em caso de contato com os olhos, lave-os imediatamente.",N/A,Não,5.0-5.6,"Sem Sulfato, pH Ácido"
Condicionador Acidic Color Gloss 300ml,Redken,Condicionador,Para cabelos opacos e sem brilho,"O Condicionador Redken Acidic Color Gloss condiciona e hidrata intensamente os cabelos, ao mesmo tempo que fornece um brilho intenso, proteção térmica e manutenção da cor. Elaborado com o exclusivo Acidic Shine Complex e uma avançada tecnologia de pH, o sistema Acidic Color Gloss estende a intensidade da sua cor, conferindo brilho contínuo entre as visitas ao salão, ao mesmo tempo em que equilibra o pH do cabelo. Esse processo não apenas fixa o brilho, mas também sela as cutículas capilares, proporcionando uma vitalidade duradoura aos fios. Efeito power gloss com Acidic Color Gloss: Brilho intenso e reposição da vivacidade da cor dos seus cabelos com a linha Acidic Color Gloss. • Brilho intenso com efeito gloss; • Fórmulas com pH ácido selam a cutícula e fixam o brilho; • Cabelo intensamente condicionado;","Aqua / Water, Cetearyl Alcohol, Propylene Glycol, Behentrimonium Chloride, Glycerin, Cetyl Esters, Dimethicone, Peg/Ppg-4/12 Dimethicone, Amodimethicone, Parfum / Fragrance, Isopropyl Alcohol, Dicetyldimonium Chloride, Citric Acid, Phenoxyethanol, Isopropyl Myristate, Hydroxypropyl Guar, Limonene, Trideceth-10, Coco-Betaine, Linalool, Benzyl Salicylate, Cetrimonium Chloride, Benzyl Alcohol, Peg-100 Stearate, Alpha-Isomethyl Ionone, Steareth-6, Sodium Chloride, Glycine Soja Oil / Soybean Oil, Arginine, Serine, Tocopherol, Glutamic Acid, Trideceth-3, Acetic Acid, Trisodium Hedta, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate","Use como um sistema completo com o Shampoo Acidic Color Gloss. Após a lavagem, aplique nos cabelos molhados. Enxague. Em caso de contato com os olhos, lave-os imediatamente.",N/A,Não,3.5-4.5,"Proteção Térmica, Manutenção da Cor, pH Ácido"
Shampoo Frizz Dismiss 300ml,Redken,Shampoo,Para cabelos com Frizz / Todos os tipos de cabelo,"O Shampoo Redken Frizz Dismiss é um shampoo livre de sulfato e cloreto de sódio para cabelos com frizz. Combate os fios rebeldes e proporciona brilho com uma limpeza suave. Este shampoo é formulado para controlar os fios e o volume, além de aumentar a suavidade. Eficiente em qualquer tipo de cabelo indisciplinado, protege contra a umidade externa e deixa o acabamento mais definido. O Smoothing Complex presente em sua fórmula suave, é enriquecido com Ácido Cítrico e Óleo de Babassu de origem sustentável. Sua ação promove controle dos fios indisciplinados, aumenta a maciez e realça o brilho dos cabelos. Controle dos cabelos com frizz. Suas fórmulas enriquecidas com Óleo de Babassu + Concentrated Smoothing Complex previnem o frizz e protegem os fios contra a umidade. Controla os fios indisciplinados, sem pesar. Garante proteção contra umidade o dia todo. Livre de Sulfato. Para todos os tipos de cabelo.","Aqua/Water, Sodium Laureth Sulfate, Sodium Chloride, Dimethicone, Coco-Betaine, Glycol Distearate, Parfum/Fragrance, Citric Acid, Sodium Benzoate, Sodium Hydroxide, Hexylene Glycol, Cocamide MIPA, Orbignya Oleifera Seed Oil, Guar Hydroxypropyltrimonium Chloride, Salicylic Acid, Carbomer, Benzyl Salicylate, Benzyl Alcohol, Linalool, Hexyl Cinnamal, Geraniol, Amyl Cinnamal, Coumarin, Citronellol, Fumaric Acid","Aplique nos cabelos úmidos. Massageie suavemente até fazer espuma. Enxágue bem. Para melhores resultados, use também com o Condicionador Redken Frizz Dismiss.",N/A,Não,N/A,"Livre de Sulfato, Livre de Cloreto de Sódio, Proteção contra umidade, Óleo de Babassu de origem sustentável"
Condicionador Frizz Dismiss 300ml,Redken,Condicionador,Cabelos com Frizz / Todos os tipos de cabelo,"O Condicionador Redken Frizz Dismiss é um condicionador livre de sulfato e cloreto de sódio para cabelos com frizz. Sua ação promove controle dos fios indisciplinados, aumenta a maciez e realça o brilho dos cabelos. O Smoothing Complex presente em sua fórmula suave, é enriquecido com Ácido Cítrico e Óleo de Babassu de origem sustentável, ativos que hidratam, desembaraçam e protegem os fios da umidade externa, promovendo cabelos macios, com brilho e acabamento definido. Controle dos cabelos com frizz. Suas fórmulas enriquecidas com Óleo de Babassu + Concentrated Smoothing Complex previnem o frizz e protegem os fios contra a umidade. Controla os fios indisciplinados, sem pesar. Garante proteção contra umidade o dia todo.","AQUA/WATER/EAU, CETEARYL ALCOHOL, BEHENTRIMONIUM CHLORIDE, PARAFFINUM LIQUIDUM/MINERAL OIL/HUILE MINÉALE, ORBIGNYA OLEIFERA SEED OIL, PARFUM/FRAGRANCE, ISOPROPYL ALCOHOL, GLYCERIN, PHENOXYETHANOL, PPG/POLYBUTYLENE GLYCOL-8/5/3 GLYCERIN, PENTACLETHRA MACROLOBA OIL/PENTACLETHRA MACROLOBA SEED OIL, HEXYL CINNAMAL, BHT, CHLORHEXIDINE DIGLUCONATE, CITRIC ACID, ALPHA-ISOMETHYL IONONE","Após o uso do Shampoo Frizz Dismiss, com o cabelo limpo e úmido, aplique o condicionador e distribua por todo o cabelo a quantidade que julgar necessária. Em seguida, enxágue.",N/A,Não,N/A,"Livre de Sulfato, Livre de Cloreto de Sódio, Óleo de Babassu de origem sustentável, Proteção contra umidade"
